event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CDI2849,2023-04-24,2023,1,Political violence,Riots,Mob violence,Rioters (Ivory Coast),Vigilante Group (Ivory Coast),5,Civilians (Ivory Coast),Women (Ivory Coast),7,57,Civilian targeting,384,Western Africa,Ivory Coast,Goh-Djiboua,Loh-Djiboua,Lakota,Lakota,5.8475,-5.682,2,Koaci News; Soir Info,National,"On 24 April 2023, a resident mob from Djidji tried to throw stones at the family of a girl from another community in Djidji, coded to Lakota (Lakota, Loh-Djiboua, Goh-Djiboua). The security forces intervened. The girl had allegedly killed an 8-year-old a girl. There were no fatalities.",0,crowd size=no report; women targeted: girls,1683041275
MLI30029,2023-04-24,2023,1,Political violence,Violence against civilians,Attack,Islamic State (Sahel),,2,Civilians (Mali),,7,27,Civilian targeting,466,Western Africa,Mali,Gao,Gao,Gabero,Nonya,15.8591,0.2671,1,Undisclosed Source; Whatsapp,Local partner-Other,"On 24 April 2023, IS Sahel militants conducted a door-to-door operation and assaulted several residents in the village of Nonya (Ansongo, Gao). Due to the violence and fear, residents started leaving the villages of Nonya and Bara. In Bara, people fled to a nearby village, while some residents set up barricades at the village's two entrances for protection on 25 April.",0,,1683041275
MLI30046,2023-04-24,2023,1,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Mali (2021-),,1,JNIM: Group for Support of Islam and Muslims,,2,12,,466,Western Africa,Mali,Koulikoro,Nara,Nara,Keibane,15.2478,-7.267,2,Undisclosed Source,Local partner-Other,"Defusal: On 24 April 2023, a FAMA unit dismantled an IED likely planted by JNIM militants about 1km from the village of Keibane (Nara, Koulikoro), on the road between Keibane and Nara.",0,,1683041275
MLI30048,2023-04-24,2023,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Dan Na Ambassagou,,4,24,,466,Western Africa,Mali,Mopti,Bandiagara,Dourou,Dourou,14.3039,-3.4322,1,FAMAMali; Le Pays Dogon; Twitter; Undisclosed Source,Local partner-Other,"On 24 April 2023, JNIM militants carried out an attack and engaged in clashes with Dan Na Ambassagou militiamen in the village of Dourou (Bandiagara, Mopti). The attackers set fire to houses and shallot crop plots, and seized livestock. There were no casualties.",0,,1683041275
MLI30053,2023-04-24,2023,1,Political violence,Battles,Armed clash,Military Forces of Mali (2021-),,1,JNIM: Group for Support of Islam and Muslims,,2,12,,466,Western Africa,Mali,Mopti,Bandiagara,Dourou,Dourou,14.3039,-3.4322,2,FAMAMali; Koro Kibaru; Le Pays Dogon; Twitter; Undisclosed Source,Local partner-Other,"On 24 April 2023, FAMa carried out a combined air and ground operation in the area of Dourou (Bandiagara, Mopti) in reaction to a JNIM attack against Dourou village. 29 militants were killed by airstrikes and 8 by ground forces, according to a FAMa statement. Local sources indicate that the militants escaped after abandoning their motorcycles which were seized by FAMa.",37,,1683041275
MLI30054,2023-04-24,2023,1,Political violence,Battles,Armed clash,Military Forces of Mali (2021-),,1,JNIM: Group for Support of Islam and Muslims,,2,12,,466,Western Africa,Mali,Mopti,Douentza,Haire,Boni,15.0766,-2.2198,2,FAMAMali,National,"On 24 April 2023, FAMa soldiers carried out an offensive reconnaissance mission about 12km southeast of Boni (Douentza, Mopti). Three militants (suspected JNIM) were killed, a motorcycle destroyed, and various objects seized.",3,,1683041275
MLI30069,2023-04-24,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,JNIM: Group for Support of Islam and Muslims,,2,MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2021-),,8,28,,466,Western Africa,Mali,Tombouctou,Tombouctou,Ber,Ber,16.8349,-2.5319,1,Undisclosed Source,Local partner-Other,"On 24 April 2023, presumed JNIM militants fired mortar shells at the MINUSMA camp in Ber (Tombouctou, Tombouctou). No casualties were reported.",0,,1683041275
NIG31049,2023-04-24,2023,1,Political violence,Battles,Armed clash,Gbagyi Ethnic Militia (Nigeria),,4,Hausa Ethnic Militia (Nigeria),,4,44,,566,Western Africa,Nigeria,Federal Capital Territory,Abuja Municipal,,Gwarinpa,9.0994,7.4081,1,Blueprint; Daily Independent (Nigeria),National,"On 24 April 2023, Gbagyi and Hausa ethnic militias clashed in Gwarinpa (Abuja Municipal, FCT). The clash started the previous day and was temporarily brought under control [coded separately]; three persons were killed, several others were wounded and cars were vandalized. Some sources report that the clash resulted from an attempt by the Gbagyi militia to retaliate the robbery of a local politician by a group of Hausa persons. 3 fatalities split across 2 events coded as 1.",1,,1683041276
NIG31050,2023-04-24,2023,1,Political violence,Battles,Armed clash,Islamic State (West Africa),,2,Military Forces of Nigeria (2015-),,1,12,,566,Western Africa,Nigeria,Borno,Gwoza,,Pulka,11.1767,13.8256,1,Guardian (Nigeria); Sahara Reporters; Twitter,New media-National,"On 24 April 2023, ISWAP militants clashed with troops of 21 armored brigade, Operation Hadin Kai when they attacked a military outpost in Pulka (Gwoza, Borno). One soldier was killed. The militants claimed the attack.",1,,1683041276
NIG31051,2023-04-24,2023,1,Political violence,Battles,Armed clash,Islamic State (West Africa),,2,Military Forces of Nigeria (2015-),,1,12,,566,Western Africa,Nigeria,Borno,Bama,,Bama,11.5221,13.6856,2,Daily Leadership (Nigeria); Guardian (Nigeria),National,"On 24 April 2023, ISWAP militants engaged troops of 21 armored brigade of Operation Hadin Kai at the outskirts of Bama (Bama, Borno). The militants launched the attack from the Sambisa axis through Yarimari Gana and they fled after the troops repelled them. Casualties are unknown.",0,,1683041276
NIG31071,2023-04-24,2023,1,Political violence,Battles,Armed clash,NURTW: National Union of Road Transport Workers,,3,NURTW: National Union of Road Transport Workers,,3,33,,566,Western Africa,Nigeria,Ondo,Akoko North East,,Ikare-Akoko,7.5167,5.75,1,Blueprint; Nigeria Punch; Premium Times (Nigeria),National,"On 24 April 2023, two factions of NURTW clashed and engaged in a firefight at Ikare-Akoko (Akoko North East, Ondo). One resident of the community was wounded by a stray bullet and properties were destroyed. Other sources reported that 2 persons were killed while the police insisted that there were no fatalities, the state government declared a curfew on the town.",0,,1683041276
NIG31074,2023-04-24,2023,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),Catholic Christian Group (Nigeria),7,37,Civilian targeting,566,Western Africa,Nigeria,Anambra,Idemili South,,Nnobi,6.0469,6.9411,2,Daily Independent (Nigeria); Daily Post (Nigeria),National,"On 24 April 2023, an unidentified armed group wounded an unspecified number of persons and abducted a man at Nnobi junction near Nnewi (Idemili South, Anambra). Some sources report that the abductee was a presumed cleric, the police claimed that the abductee who was not a catholic priest or cleric was released and he was able to reclaim his car from the police station, there are no reports on ransom payment.",0,,1683041276
NIG31083,2023-04-24,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Islamic State (West Africa),,2,Military Forces of Nigeria (2015-),,1,12,,566,Western Africa,Nigeria,Borno,Mobbar,,Layi,12.8987,12.6369,1,Daily Trust (Nigeria); Vanguard (Nigeria),National,"On 24 April 2023, Nigerian troops who were on a patrol set off an IED that was planted by ISWAP militants at Layi village (Mobbar, Borno). All Five soldiers who were onboard the vehicle were killed.",5,,1683041276
NIG31084,2023-04-24,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Islamic State (West Africa),,2,Military Forces of Nigeria (2015-),,1,12,,566,Western Africa,Nigeria,Borno,Mobbar,,Damasak,13.0977,12.4952,2,Twitter,New media,"On 24 April 2023, an IED presumed to have been planted by ISWAP detonated on a patrol of Nigerian soldiers at San San village, 1km away from Damasak (Mobbar, Borno). One soldier was killed and an unspecifed number of others were wounded.",1,,1683041276
NIG31088,2023-04-24,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Islamic State (West Africa),,2,Civilians (Nigeria),,7,27,Civilian targeting,566,Western Africa,Nigeria,Yobe,Gujba,,Goniri,11.4833,12.3144,1,Twitter,New media,"On 24 April 2023, ISWAP militants fired in Goniri town (Gujba, Yobe) and the the bombs drooped far from the military camp and civilian population with any impact.",0,,1683041276
NIG31096,2023-04-24,2023,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Nigeria),,3,Civilians (Nigeria),,7,37,Civilian targeting,566,Western Africa,Nigeria,Rivers,Port Harcourt,,Diobu,4.8104,6.9853,1,Nigeria Punch,National,"On 24 April 2023, an unidentified armed group killed a man whom they had chased along Illabouchi street in Mile 2, Diobu (Port Harcourt, Rivers). The assailants zoomed off after shooting the victim, some residents claimed that the attack was linked to the tussle between two factions of Deebam cult militia, the police claimed that the victim fell on a pavement while being chased and sustained injuries for whuch he was confirmed dead at a hospital.",1,,1683041276
NIG31103,2023-04-24,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Nigeria),,6,,,0,60,,566,Western Africa,Nigeria,Lagos,Eti-Osa,,Ajiran Osapa Ward,6.4529,3.5305,2,Guardian (Nigeria),Subnational,"On 24 April 2023, residents Ajiran community (Eti-Osa, Lagos) coded to Ajiran Osapa Ward protested over the lack of motorable roads and other amenities in the area. The protesters demanded for the state government's intervention and that of the police to prevent a breakdown of law and order.",0,crowd size=no report,1683041276
NIR29954,2023-04-24,2023,1,Political violence,Violence against civilians,Attack,Islamic State (Sahel),,2,Civilians (Niger),,7,27,Civilian targeting,562,Western Africa,Niger,Tillaberi,Tera,Tera,Handaga,13.9718,0.5862,1,Facebook; Twitter; Urgence Tillabery,New media,"On 24 April 2023, suspected IS Sahel militants killed the president school management committees (COGES) of the Begorou Tondo General Education College (CEG) in the village of Handaga (Tera, Tillaberi).",1,,1683041276
BFO9715,2023-04-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Burkina Faso (2022-),,1,JNIM: Group for Support of Islam and Muslims,,2,12,,854,Western Africa,Burkina Faso,Sahel,Soum,Kelbo,Pougzengbaongo,13.8407,-1.2596,1,AIB (Burkina Faso); MinuteBf; RTB,New media-National,"On 23 April 2023, the Burkinabe air force carried out air strikes against presumed JNIM militants in the village of Pougzengbaongo (Kelbo, Soum). An unspecified number of militants were killed. Fatalities estimated as low and coded as 3.",3,,1683041275
BFO9716,2023-04-23,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Burkina Faso (2022-),,1,Islamic State (Sahel),,2,12,,854,Western Africa,Burkina Faso,Sahel,Oudalan,Tin-Akoff,Tin-Akoff,14.9655,-0.1634,2,AIB (Burkina Faso); MinuteBf; RTB; Undisclosed Source,Local partner-Other,"On 23 April 2023, the Burkinabe air force carried out air strikes against presumed IS Sahel militants in the area of Tin-Akoff (Tin-Akoff, Oudalan). An unspecified number of militants were killed. Fatalities estimated as low and coded as 3.",3,,1683041275
BFO9730,2023-04-23,2023,1,Political violence,Battles,Armed clash,JNIM: Group for Support of Islam and Muslims,,2,Police Forces of Burkina Faso (2022-) Gendarmerie,VDP: Volunteer for Defense of Homeland,1,12,,854,Western Africa,Burkina Faso,Sahel,Yagha,Solhan,Solhan,13.376,0.4572,1,Facebook; Whatsapp,New media,"On 23 April 2023, presumed JNIM militants attacked a position of soldiers and volunteer fighter (VDP) in the town of Solhan (Solhan, Yagha). The attack was repelled, no casualties.",0,,1683041275
BFO9732,2023-04-23,2023,1,Political violence,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Burkina Faso),,7,27,Civilian targeting,854,Western Africa,Burkina Faso,Centre-Nord,Namentenga,Yalgo,Yalgo,13.5881,-0.2654,2,Facebook; Whatsapp,New media,"On 23 April 2023, presumed JNIM militants set up a checkpoint and controlled identities of road users between Yalgo (Yalgo Namentenga) and Tougouri (Tougouri; Namentenga). The militants killed one civilian and seized two motorcycles.",1,,1683041275
BFO9733,2023-04-23,2023,1,Political violence,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Burkina Faso),,7,27,Civilian targeting,854,Western Africa,Burkina Faso,Centre-Nord,Namentenga,Boulsa,Gaoga,12.6905,-0.4516,1,Facebook; Whatsapp,New media,"On 23 April 2023, presumed JNIM militants attacked the village of Gaoga (Boulsa, Namentenga). The militants killed three civilians, set fire to an house and looted stores.",3,,1683041275
BFO9738,2023-04-23,2023,1,Political violence,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Burkina Faso),,7,27,Civilian targeting,854,Western Africa,Burkina Faso,Est,Tapoa,Diapaga,Diapaga,12.0731,1.7884,2,Facebook,New media,"On 23 April 2023, presumed JNIM militants attacked a village near Diapaga (Diapaga, Tapoa). Seven civilians were killed.",7,,1683041275
BFO9741,2023-04-23,2023,1,Political violence,Violence against civilians,Attack,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Burkina Faso),Women (Burkina Faso),7,27,Civilian targeting,854,Western Africa,Burkina Faso,Est,Tapoa,Partiaga,Tawori,12.0466,1.4068,1,Gulmu Info,Subnational,"On 23 April 2023, presumed JNIM militants entered in the village of Tawori (Partiaga, Tapoa). They broke into a house and looked for the head of the family who was absent. Before leaving, they killed a young girl and injured a woman who was taken to the hospital in Fada Ngourma (Fada Ngourma, Gourma).",1,women targeted: girls,1683041275
BFO9751,2023-04-23,2023,1,Strategic developments,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Burkina Faso),,7,27,,854,Western Africa,Burkina Faso,Est,Tapoa,Diapaga,Gounda,12.0776,1.8415,1,Whatsapp,New media,"Looting: On 23 April 2023, presumed JNIM militants seized livestock in the village of Gounda (Diapaga, Tapoa).",0,,1683041275
BFO9752,2023-04-23,2023,1,Strategic developments,Strategic developments,Looting/property destruction,JNIM: Group for Support of Islam and Muslims,,2,Civilians (Burkina Faso),,7,27,,854,Western Africa,Burkina Faso,Est,Tapoa,Diapaga,Pemboanga de Partiaga,12.0472,1.7411,1,Whatsapp,New media,"Looting: On 23 April 2023, presumed JNIM militants seized livestock in the village of Pemboanga de Partiaga (Diapaga, Tapoa).",0,,1683041275
BFO9754,2023-04-23,2023,1,Political violence,Battles,Armed clash,Military Forces of Burkina Faso (2022-),VDP: Volunteer for Defense of Homeland,1,JNIM: Group for Support of Islam and Muslims,,2,12,,854,Western Africa,Burkina Faso,Centre-Est,Boulgou,Bittou,Bittou,11.2581,-0.3061,2,AIB (Burkina Faso); MinuteBf; RTB; Undisclosed Source,Local partner-Other,"On 23 April 2023, soldiers and volunteer fighter (VDP) conducted operations combined with air strikes against presumed JNIM militant base in the area of Bittou (Bittou, Boulgou). Several militants were killed. Fatalities coded as 10.",10,,1683041275
